           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
                9              -16                7      -0.61009914       -3336.0969        14.374206        -6055.832        1.6443859         231.5016
               10              -16                7         -0.59485       -3229.2922        14.581458       -5811.1357        1.6385223        202.67972
               11              -16                7      -0.58202434       -3111.4983        14.772635       -5443.3984        1.6187446        151.16312
               12              -16                7      -0.58675921       -2922.9067        14.935955       -4973.3252        1.5510482        97.302109
               13              -16                7      -0.60633063       -2763.8665        15.087214       -4456.5498        1.4760163        63.805779
               14              -16                7      -0.64073884       -2634.3772        15.226412       -3893.0718        1.3936486        50.673988
               15              -16                7      -0.68998349       -2534.4397        15.353549       -3282.8918        1.3039453        57.906857
               16              -16                7      -0.75784332       -2436.5928        15.436445       -2541.4067         1.173808        83.740051
               17              -16                7      -0.83963537       -2305.1719        15.492568       -1715.5654        1.0066122        113.04518
               18              -16                7      -0.93417853       -2140.8433        15.529424       -825.23334       0.80842704        144.40714
              -18              -15                7       -1.1414835       -2815.0405          15.6839        946.82324       0.99543494       -118.40252
              -17              -15                7       -1.2770152       -2918.6372        15.629415        1835.4559        1.0676321       -91.646378
              -16              -15                7        -1.387835       -3029.9368        15.538905        2676.4995        1.1246625         -46.8498
              -15              -15                7       -1.4733312       -3198.4553        15.426888        3484.3547        1.1863366      -0.39711761
              -14              -15                7       -1.5400317       -3423.3923        15.320725        4245.1509        1.2546818        24.542053
              -13              -15                7       -1.5879366       -3704.7483        15.220421        4958.8877        1.3296986        27.967796
              -12              -15                7       -1.6170461       -4042.5229        15.125971        5625.5654        1.4113867        9.8800697
              -11              -15                7       -1.6273599       -4436.7178        15.037379        6245.1841        1.4997464        -29.72118
              -10              -15                7       -1.6219126       -4790.1577        14.940754         6762.585        1.5630233       -68.038284
               -9              -15                7       -1.6214864        -5023.248        14.770002        7017.4326        1.6182593       -185.10889
               -8              -15                7       -1.6865542       -5932.1899        14.487618        6950.6387        2.0995975       -547.38416
               -7              -15                7       -1.8093737        -7237.542        14.223846        6726.9302        2.8333862        -624.2915
               -6              -15                7       -1.9899448       -8939.3008        13.978686        6346.3047        3.8196242       -415.83038
               -5              -15                7       -1.7718632       -10001.388        14.071341        6307.9204        3.8079686        287.31418
               -4              -15                7       -1.5724044       -10458.824        14.248304        5651.0181        3.6963079        591.97815
               -3              -15                7       -1.4107018       -10538.775        14.499255        4444.8413        3.5782628        542.41968
               -2              -15                7       -1.2867556       -10241.236        14.824192        2689.3879        3.4538317        138.63855
               -1              -15                7       -1.1693213       -10347.163        14.773175        1048.6201         3.481132       -150.03995
                0              -15                7      -0.97501403       -10298.655        15.008747       -96.800812        3.5536714         166.7478
                1              -15                7      -0.75098366       -10243.541        15.146183       -1522.5049        3.5600677        73.576752
                2              -15                7      -0.69257939       -9938.7998        15.133444        -2684.145        3.6267116        33.705193
                3              -15                7      -0.63856685       -9551.8633         15.09005       -3718.7571        3.6091437        29.772291
                4              -15                7      -0.58964467       -9241.5938        15.052357       -4671.0068        3.5740268        76.266708
                5              -15                7      -0.54581261       -9007.9912        15.020359        -5540.895        3.5213611        173.18846
                6              -15                7      -0.51265383       -8443.6572        14.945381       -6240.3535         3.335475        270.00986
                7              -15                7      -0.50568807       -7157.5918        14.821819       -6579.8789        2.9295816        283.16058
                8              -15                7      -0.51858854       -5983.8613        14.769978       -6687.0439        2.5526662        298.47058
                9              -15                7        -0.551355       -4922.4648        14.789854       -6561.8481        2.2047296        315.93991
               10              -15                7      -0.57192814       -4304.1084        14.916291       -6213.3799        2.0142405        290.30695
               11              -15                7      -0.57254988       -4037.0913        15.077215       -5733.0513        1.9432341        214.33549
               12              -15                7      -0.58800817       -3799.6255        15.226077        -5206.021        1.8648914         158.7287
               13              -15                7      -0.61830312       -3591.7102        15.362879       -4632.2876        1.7792134         123.4865
               14              -15                7      -0.66343462       -3413.3472        15.487619       -4011.8525        1.6862001        108.60892
               15              -15                7      -0.72340262       -3264.5356          15.6003       -3344.7158         1.585851        114.09595
               16              -15                7       -0.7982074       -3145.2737        15.700918       -2630.8757        1.4781659        139.94756
               17              -15                7      -0.88953507       -3013.5322        15.760731       -1815.4937        1.3274426        173.14143
               18              -15                7      -0.99467522       -2839.9243        15.789725       -914.19702         1.133628        205.45752
              -18              -14                7       -1.1863008       -3409.0703        15.968911        962.17828        1.2663702       -181.22864
              -17              -14                7       -1.3301799       -3523.1797        15.885194        1892.0417        1.3365483       -126.02145
              -16              -14                7       -1.4489164       -3682.1689        15.777219        2802.6367        1.4074923       -60.594997
              -15              -14                7       -1.5488575       -3897.5769        15.675101        3666.1726        1.4851077       -16.682014
              -14              -14                7        -1.630003       -4169.4038        15.578838        4482.6494        1.5693946        5.7174759
              -13              -14                7        -1.692353       -4497.6499        15.488432        5252.0664        1.6603531         6.603508
              -12              -14                7       -1.7359072       -4882.3149        15.403882        5974.4243         1.757983       -14.023914
              -11              -14                7       -1.7606661       -5323.3984         15.32519        6649.7246        1.8622842       -56.164841
              -10              -14                7       -1.7666295       -5820.8999        15.252351        7277.9644        1.9732568       -119.81918
               -9              -14                7       -1.7859031       -6459.6885        15.098129        7649.7676        2.1778884       -395.50281
               -8              -14                7       -1.8837384        -7635.979        14.841791        7647.5093        2.7291603       -797.01111
               -7              -14                7       -2.0393255       -9208.6787        14.604066        7488.3364        3.5328817       -913.15131
               -6              -14                7       -2.0133405       -11517.425        14.578526        7845.4097        4.2269034       -211.16037
               -5              -14                7        -1.829325       -13807.507        14.780101        7896.0107         4.700974        560.81268
               -4              -14                7        -1.607453       -13810.964        15.029407        6673.1445        4.5938401        588.21417
               -3              -14                7       -1.4233375       -13436.937        15.352701        4901.0039        4.4803219        261.39304
               -2              -14                7       -1.3180032       -12746.364        15.570088        2868.4929        4.2604184       -112.56894
               -1              -14                7       -1.1956023       -13186.071        15.535461        1058.2231        4.4218869       -424.63202
                0              -14                7       -1.0266594       -13206.731        15.854803         -114.802        4.5234132        100.79311
                1              -14                7      -0.84766662       -12721.826        15.884272       -1685.8862        4.3016915        111.27655
                2              -14                7      -0.74691939       -13036.733        16.005276       -3216.5278        4.5911531        61.941856
                3              -14                7      -0.68056667       -12558.547        15.955713         -4323.04        4.5406713        75.679779
                4              -14                7      -0.61930412       -12157.026        15.911849       -5347.1885        4.4726405        139.84497
                5              -14                7      -0.56328017       -11790.996        15.865578       -6282.2451        4.3749328        250.77014
                6              -14                7      -0.52441055       -10288.905        15.616762       -6856.3281        3.9210742        277.55847
                7              -14                7      -0.50540704       -8899.1514        15.439667       -7198.0503        3.4961939        306.50616
                8              -14                7      -0.50626957       -7621.7314        15.334293       -7307.4106        3.1002922        337.61313
                9              -14                7      -0.49103379       -6531.3779        15.297092       -7352.2017        2.7561917        430.87787
               10              -14                7      -0.48404568       -5628.2188        15.349174        -6906.042        2.4594398        314.64322
               11              -14                7      -0.56628972       -4906.8159         15.42292       -6074.7856        2.2447596        257.11069
               12              -14                7      -0.59247142       -4620.4761        15.557325       -5490.7988        2.1557715         199.7581
               13              -14                7      -0.63348967       -4363.6875         15.67967       -4860.1089        2.0594478        162.77014
               14              -14                7      -0.68934458       -4136.4492        15.789954       -4182.7158        1.9557881        146.14671
               15              -14                7      -0.76003593       -3938.7637        15.888175       -3458.6223        1.8447933        149.88791
               16              -14                7      -0.84556413       -3770.6272        15.974337        -2687.824         1.726462        173.99368
               17              -14                7      -0.94592887       -3632.0435        16.048437       -1870.3248        1.6007955        218.46408
               18              -14                7       -1.0611959       -3471.7014        16.085363       -975.49341        1.4314876        262.38205
              -18              -13                7       -1.2146031       -3911.4058        16.264902        986.18292        1.5068002       -208.43816
              -17              -13                7       -1.3665802       -4060.8665        16.160971        1999.5176        1.5870147        -124.0379
              -16              -13                7       -1.4997618       -4266.7451        16.062897        2965.7932        1.6739002       -61.151138
              -15              -13                7       -1.6141479        -4529.043        15.970677        3885.0093        1.7674576       -19.777866
              -14              -13                7       -1.7097384       -4847.7603        15.884314         4757.167         1.867686      0.081943512
              -13              -13                7       -1.7865334       -5222.8955        15.803807        5582.2646        1.9745862       -1.5717125
              -12              -13                7       -1.8445327       -5654.4497        15.729156        6360.3037        2.0881574       -24.738832
              -11              -13                7       -1.8837366       -6142.4233        15.660361        7091.2847        2.2084005       -69.419441
              -10              -13                7       -1.9549341       -6906.5713        15.591784        7943.2461        2.3854218       -146.59732
               -9              -13                7       -1.9377438       -7907.3037        15.483482          8390.71        2.7291827       -622.76837
               -8              -13                7       -2.0683465       -9350.9424        15.253191        8452.9883        3.3503878       -1063.5098
               -7              -13                7       -2.1596184       -11233.816        15.122641        8632.2686        4.0866389       -948.61523
               -6              -13                7        -1.994571       -13406.982        15.310421        9048.8838        4.5776529       -179.17853
               -5              -13                7       -1.8085871       -15625.589        15.641302        8755.2041        5.1259265        298.36755
               -4              -13                7       -1.5937884       -16755.178        16.046177        7457.2012        5.4411163        302.67651
               -3              -13                7       -1.3872597       -15927.172        16.441814        5119.0986        5.3321252       -301.40744
               -2              -13                7       -1.3472489        -15075.32        16.398815        3153.5242        4.9496608       -303.66574
               -1              -13                7       -1.2115202       -15935.261         16.50794         1056.235        5.3040018       -780.05865
                0              -13                7       -1.0496938       -16087.699        16.944939       -118.06451         5.454237       -40.226524
                1              -13                7      -0.99878412       -15342.951        16.943474        -1820.792        5.1337614        204.94208
                2              -13                7      -0.82816917       -15648.688        16.956543       -3689.0032        5.3306227        23.727942
                3              -13                7      -0.76379102        -15548.01        17.015362       -5067.8804        5.4438324        70.994995
                4              -13                7      -0.69018811        -15055.24        16.965328       -6163.9292        5.3428888        152.83101
                5              -13                7      -0.62146199       -13687.746        16.685625       -7012.5708         4.947814        213.02301
                6              -13                7      -0.57055449       -12081.969        16.383278       -7588.8496        4.4749689        255.60831
                7              -13                7      -0.53951299       -10588.524        16.152649       -7932.7676        4.0311022        300.35291
                8              -13                7       -0.4834961       -9501.0049        15.978188       -8359.2383         3.672699        327.73941
                9              -13                7      -0.38604334       -8188.1372        15.966686       -8556.0957        3.4612329        787.53015
               10              -13                7      -0.35808814       -7362.8047         15.97363        -8083.833        3.0843654        298.32867
               11              -13                7      -0.49329555       -6122.6104        15.891811       -6810.5894        2.6501517        260.89502
               12              -13                7      -0.60014892        -5385.458        15.929699       -5827.6577        2.4236882        220.39034
               13              -13                7      -0.65189052       -5079.7954        16.037586       -5140.0112        2.3167183        181.65652
               14              -13                7      -0.71846884       -4803.6836        16.133411       -4405.6611        2.2024126        163.28729
               15              -13                7      -0.79988384       -4557.1216        16.217176       -3624.6089        2.0807714        165.28268
               16              -13                7      -0.89613533       -4340.1123        16.288881       -2796.8545        1.9517946        187.64265
               17              -13                7       -1.0072234       -4152.6543        16.348526       -1922.3982        1.8154823         230.3672
               18              -13                7       -1.1331481       -3994.7471        16.396107       -1001.2388         1.671834        293.45639
              -18              -12                7       -1.2535319       -4234.5771        16.462749        910.24054        1.6867871       -185.31476
              -17              -12                7       -1.3960354       -4516.1201         16.46839        2122.7673        1.8157607       -107.97352
              -16              -12                7       -1.5403713       -4783.6665        16.395933         3165.969        1.9238871        -48.51825
              -15              -12                7       -1.6692023       -5092.8535        16.313614        4140.8667         2.033386       -9.6846409
              -14              -12                7       -1.7792377         -5458.46         16.23715        5068.7046        2.1495562        7.6354704
              -13              -12                7       -1.8704777       -5880.4854        16.166542        5949.4824        2.2723975        3.4420996
              -12              -12                7        -1.942922       -6358.9292        16.101793        6783.2021        2.4019105       -22.264727
              -11              -12                7       -2.0471556       -7104.2871        16.042881        7756.7969        2.5813782       -81.904755
              -10              -12                7       -2.2442651         -8494.29        16.012121        9134.9336        2.9238358       -202.68721
               -9              -12                7       -2.2221315       -9820.3057        15.968032        9483.7656          3.40081       -768.58496
               -8              -12                7       -2.2403784        -11077.08        15.721814        9367.0752        3.9632807         -1346.88
               -7              -12                7       -2.1158237       -12818.842        15.861247         9961.417        4.4136038       -747.53967
               -6              -12                7       -1.9407716       -14586.441        16.169376        9929.1602         4.882617       -339.17648
               -5              -12                7       -1.7447829       -16399.486        16.620611        9186.6094        5.4088898       -222.70355
               -4              -12                7       -1.5278578       -18257.977        17.214945        7733.7646        5.9924245       -398.12027
               -3              -12                7       -1.3147296       -18036.945        17.726727         5163.502        6.1126914       -1070.4919
               -2              -12                7       -1.3424054       -17561.826        17.438988        3251.5872        5.7227831       -817.01068
               -1              -12                7       -1.2170119       -18607.479        17.696362        1041.8267        6.1314764       -1218.2615
                0              -12                7       -1.0444762       -18946.986        18.278877       -106.54108        6.3481736       -255.85982
                1              -12                7       -1.1186337       -17939.328        18.256796       -1942.0698         5.926548        217.93338
                2              -12                7      -0.91538399       -17674.299         17.94832       -4027.9556        5.8089867       -64.626961
                3              -12                7      -0.88823998       -18520.258        18.268999       -5953.2817        6.3186283        15.718007
                4              -12                7       -0.7968424       -17354.115        18.028408       -7048.6074        6.0098014        89.554077
                5              -12                7      -0.71403116       -15532.311        17.600807       -7859.4424        5.4889917        145.77699
                6              -12                7      -0.65108573       -13822.845        17.244928        -8437.917          4.99716        204.15924
                7              -12                7       -0.5536741       -12804.688        16.929518       -9283.3486        4.6339693        135.97774
                8              -12                7      -0.41838753       -11672.709        16.773027       -9944.5098        4.4429016        450.52875
                9              -12                7       -0.3442184       -10103.398        16.830118       -9929.1826        4.2167835        813.25806
               10              -12                7      -0.32297239       -9044.5156        16.752142       -9388.7852        3.7561359        232.46747
               11              -12                7       -0.3937642       -7689.8379         16.55299       -8040.5977         3.212065        228.42279
               12              -12                7      -0.54280448       -6488.8232        16.435158       -6610.1865        2.7872717         204.0107
               13              -12                7      -0.67350572       -5740.0352        16.436626       -5471.9951        2.5510252         180.1458
               14              -12                7      -0.75080729       -5415.0493        16.517996        -4680.689         2.426074        160.03072
