           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
                3              -15                7       -925738.13        123615.21         14270935         -8862528        5084082.5        669311.13
                4              -15                7       -1026222.2        184217.23         13832131         -8807745          4781668        652182.25
                5              -15                7       -1087395.3        243503.42         13357721         -8752010        4493137.5        650196.69
                6              -15                7       -1122731.6        309028.28         12811904         -8732666        4125813.5         663938.5
                7              -15                7         -1116084        341719.16         12183685         -8740108          3543191        670605.81
                8              -15                7       -1025258.9        302843.09         11558092         -8675064          2911124        657268.19
                9              -15                7       -850256.56        192399.95         10935125         -8537535        2229612.3        623925.56
               10              -15                7       -755265.75        109538.91         10335526         -8433503        1855043.1        604148.13
               11              -15                7       -807286.69        126969.23          9732844         -8423440        1915871.5        629628.13
               12              -15                7       -839434.56        152819.16          9213151       -8382823.5        1978495.6        661301.81
               13              -15                7       -851709.44        187088.64          8776449         -8311653        2042914.8        699169.25
               14              -15                7       -844111.25        229777.67          8422735         -8209931        2109129.8         743230.5
               15              -15                7       -816640.25        280886.34          8152012         -8077655          2177140         793485.5
               16              -15                7       -769295.94         340414.5          7964278         -7914825        2246945.3        849934.06
               17              -15                7          -711490        385494.66          7834957       -7702518.5        2182435.8        886992.25
               18              -15                7       -640921.44        422910.75        7747579.5         -7458318        2047287.3        917108.44
              -18              -14                7       -217722.67           734079        488545.31        -10644646        2513386.5       -801703.63
              -17              -14                7       -49701.914        742405.25         880422.5        -10516670          2573313       -712785.81
              -16              -14                7        150865.53        752436.94        1360970.6        -10379584          2593721       -605255.94
              -15              -14                7        325837.75        762692.63        1934689.4        -10242619          2628967       -497321.56
              -14              -14                7        475214.66        773172.25          2601578        -10105774        2679050.5       -388982.72
              -13              -14                7        598996.38        783875.75          3361638         -9969048          2743972       -280239.28
              -12              -14                7        697182.88        794803.38          4214867         -9832441        2823731.8       -171091.41
              -11              -14                7        769774.13        805954.94        5161267.5         -9695954        2918328.8       -61538.949
              -10              -14                7        816770.13        817330.44        6200837.5         -9559589        3027763.8        48417.977
               -9              -14                7        751123.63        820479.69        7120795.5         -9404864        3383344.5        201927.41
               -8              -14                7        640554.63        826440.19          7693472         -9161262        4467973.5        394985.06
               -7              -14                7        700718.56        860081.81        8097454.5         -8827816          6072530        534150.63
               -6              -14                7        1297296.8        789894.88          9712873         -8722173          7250878         473200.5
               -5              -14                7        1802830.4        684398.94         11976858         -8762791        7751290.5        307530.22
               -4              -14                7        1732518.1        592983.81         13473384         -8936857        7369225.5        454178.63
               -3              -14                7          1299335        551901.06         14473638         -9051103        6965704.5        633042.13
               -2              -14                7        694731.25        566356.44         14961840         -9044235        6550467.5         911841.5
               -1              -14                7        425275.69        385761.38         15650252         -9077853          6191381        1097391.3
                0              -14                7        109597.44        293434.84         15547864         -8827786        6781598.5        1149526.8
                1              -14                7       -548391.38        116487.45         15712027         -8676095          6774354        1303815.4
                2              -14                7          -973164        86104.539         15979570         -8633904          6743746        1155476.8
                3              -14                7       -1148225.5        164429.91         15504142         -8558822          6329119        1117567.1
                4              -14                7       -1283975.8        241439.28         14993108         -8482792        5928375.5        1094800.5
                5              -14                7       -1381896.1        319292.25         14441089         -8413401        5536855.5        1086682.3
                6              -14                7       -1461639.1        424137.63         13712293         -8533116        4987191.5        1060769.6
                7              -14                7       -1457204.9        457415.94         12986122         -8580346        4388082.5        1014852.1
                8              -14                7         -1368593        419127.13         12262578         -8555090          3739528        948929.38
                9              -14                7       -1117598.9        202147.14         11235646         -8466973          3177192          1151038
               10              -14                7       -971052.88         193346.5         10466319         -8429994          2856133        1009620.7
               11              -14                7       -1007139.7        177631.47          9887350         -8373815        2530920.3        813880.75
               12              -14                7       -1023527.9        203427.38          9348734         -8340230          2528068        840612.06
               13              -14                7       -1020043.3        237642.92          8893107         -8276090        2527011.5        873537.19
               14              -14                7        -996685.5           280278          8520470         -8181399        2527749.5           912656
               15              -14                7       -953454.94        331332.72          8230821         -8056153        2530284.3        957968.63
               16              -14                7          -890351        390806.88          8024164         -7900354          2534613        1009474.9
               17              -14                7       -807374.06        458700.66          7900496         -7714003        2540737.5        1067174.9
               18              -14                7       -720345.19        516587.25          7818861         -7488279        2442814.5        1113621.3
              -18              -13                7       -261499.84        872849.13        499383.44        -10711097          2787241       -896416.06
              -17              -13                7       -27278.777        881985.56        924674.44        -10571800        2845259.8       -778276.44
